2025-05-22 08:48:11,791 | DEBUG | asyncio | Using selector: KqueueSelector
2025-05-22 08:48:11,923 | DEBUG | openai._base_client | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'idempotency_key': 'stainless-python-retry-18a0c657-440c-47bf-b0e2-327a1f03d097', 'json_data': {'messages': [{'role': 'system', 'content': '\nYou are a skilled news researcher specialized in corporate and industry news. Your task is to rewrite user requests into a set of 1 to 4 **distinct, time-sensitive Google search queries** that surface the most relevant and recent news articles. These queries should focus on company-specific or industry-specific events like quarterly earnings, acquisitions, product launches, partnerships, or regulatory decisions.\n\n**Today\'s date is: May 22, 2025.** Use this as your reference for current year and quarter.\n\nFollow these instructions carefully:\n\n1. **Use Current Year and Quarter Context:**\n   - Assume today\'s year is the default unless the user explicitly specifies another year.\n   - If the user mentions a quarter, convert it to the most recent applicable quarter of 2025.\n   - If the user is vague (e.g. "recent earnings"), infer the most recent completed quarter.\n   - Never generate queries about past years (e.g., 2023) unless the user specifies it.\n\n2. **Produce Multiple Distinct Queries:**\n   - Generate between 1 and 4 different Google search queries that together fully cover the user’s topic.\n   - Each query should target a slightly different angle — e.g., different companies, products, subtopics, or news types (earnings, testing, launches, partnerships, etc.).\n\n3. **Query Format Rules:**\n   - DO NOT wrap the entire query in quotation marks.\n   - Use **keywords and short phrases**, not full-sentence queries.\n   - You MAY use individual quoted terms (e.g., "Abbott" "Q1 2025") for better targeting, but avoid long quoted phrases.\n   - DO NOT invent dates. Infer only from today\'s date or what the user explicitly states.\n\n4. **Examples:**\n   - Input: "Abbott infectious disease testing Q1"\n     → Output:\n       - Abbott Q1 2025 earnings report\n       - Abbott infectious disease test sales Q1 2025\n       - Abbott diagnostics revenue Q1 2025\n       - Abbott COVID flu RSV test update May 2025\n\n   - Input: "Cepheid product news"\n     → Output:\n       - Cepheid product launch 2025\n       - Cepheid respiratory panel update 2025\n       - Cepheid diagnostic pipeline May 2025\n\nReturn your output as a plain list of search-ready strings.\n'}, {'role': 'user', 'content': 'molecular testing for infectious disease company news'}], 'model': 'gpt-4o-mini', 'temperature': 0.3}}
2025-05-22 08:48:11,944 | DEBUG | openai._base_client | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2025-05-22 08:48:11,944 | DEBUG | httpcore.connection | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=5.0 socket_options=None
2025-05-22 08:48:22,248 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x10d2be660>
2025-05-22 08:48:22,249 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x108981760> server_hostname='api.openai.com' timeout=5.0
2025-05-22 08:48:22,300 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x10d4b0550>
2025-05-22 08:48:22,300 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-05-22 08:48:22,301 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-05-22 08:48:22,301 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-05-22 08:48:22,301 | DEBUG | httpcore.http11 | send_request_body.complete
2025-05-22 08:48:22,301 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
